| Shooter                    | Goals | Shots | Blocks | Misses | Attempts | Shots_Through_Per |
+----------------------------+-------+-------+--------+--------+----------+-------------------+
| VALERI NICHUSHKIN    |    14 |   114 |     41 |     51 |      220 |            0.5818 |
| LOGAN COUTURE        |    23 |   210 |     76 |     91 |      400 |            0.5825 |
| MATT CULLEN          |    10 |   124 |     57 |     39 |      230 |            0.5826 |
| JOEL WARD            |    24 |   109 |     48 |     47 |      228 |            0.5833 |
| NICKLAS BACKSTROM    |    18 |   178 |     66 |     74 |      336 |            0.5833 |
| OLLI JOKINEN         |    18 |   153 |     64 |     58 |      293 |            0.5836 |
| DEVIN SETOGUCHI      |    11 |   118 |     55 |     37 |      221 |            0.5837 |
| BRYAN LITTLE         |    23 |   147 |     63 |     58 |      291 |            0.5842 |
| MIKKEL BOEDKER       |    19 |   147 |     63 |     55 |      284 |            0.5845 |
| SCOTT HARTNELL       |    20 |   187 |     58 |     89 |      354 |            0.5847 |
| THOMAS VANEK         |    27 |   221 |     96 |     80 |      424 |            0.5849 |
| ANDREW COGLIANO      |    22 |   136 |     51 |     61 |      270 |            0.5852 |
| BOONE JENNER         |    16 |   111 |     44 |     46 |      217 |            0.5853 |
| TAYLOR HALL          |    27 |   223 |    100 |     77 |      427 |            0.5855 |
| PAVEL DATSYUK        |    17 |   109 |     50 |     39 |      215 |            0.5860 |
| ANDREW DESJARDINS    |     3 |    92 |     39 |     28 |      162 |            0.5864 |
| BRANDON SAAD         |    19 |   140 |     61 |     51 |      271 |            0.5867 |
| ALES HEMSKY          |    13 |   125 |     57 |     40 |      235 |            0.5872 |
| ERIC FEHR            |    13 |   125 |     57 |     40 |      235 |            0.5872 |
| NICK FOLIGNO         |    18 |    93 |     33 |     45 |      189 |            0.5873 |
| PATRIK BERGLUND      |    14 |   130 |     59 |     42 |      245 |            0.5878 |
| ANZE KOPITAR         |    29 |   171 |     65 |     75 |      340 |            0.5882 |
| TOMMY WINGELS        |    16 |   147 |     52 |     62 |      277 |            0.5884 |
| MARIAN GABORIK       |    11 |    92 |     33 |     39 |      175 |            0.5886 |
| ROB KLINKHAMMER      |    11 |    92 |     29 |     43 |      175 |            0.5886 |
| RYAN KESLER          |    25 |   214 |     75 |     92 |      406 |            0.5887 |
| COLIN GREENING       |     6 |   102 |     35 |     40 |      183 |            0.5902 |
| DWIGHT KING          |    15 |    96 |     34 |     43 |      188 |            0.5904 |
| TOMAS HERTL          |    15 |    83 |     33 |     35 |      166 |            0.5904 |
| DAVID KREJCI         |    19 |   150 |     56 |     61 |      286 |            0.5909 |
| PATRICK MARLEAU      |    33 |   252 |     99 |     98 |      482 |            0.5913 |
| SEAN COUTURIER       |    13 |   152 |     55 |     59 |      279 |            0.5914 |
| BRAYDEN SCHENN       |    20 |   158 |     62 |     61 |      301 |            0.5914 |
| JUSTIN WILLIAMS      |    19 |   220 |     65 |    100 |      404 |            0.5916 |
| MARIAN HOSSA         |    30 |   212 |    109 |     58 |      409 |            0.5917 |
| FRANS NIELSEN        |    25 |   142 |     61 |     54 |      282 |            0.5922 |
| COLIN MCDONALD       |     8 |    88 |     30 |     36 |      162 |            0.5926 |
| TRAVIS ZAJAC         |    18 |   148 |     63 |     51 |      280 |            0.5929 |
| JOHAN FRANZEN        |    16 |   133 |     46 |     56 |      251 |            0.5936 |
| MATHIEU PERREAULT    |    18 |   102 |     46 |     36 |      202 |            0.5941 |
| MASON RAYMOND        |    19 |   159 |     70 |     51 |      299 |            0.5953 |
| CORY CONACHER        |     7 |    94 |     33 |     35 |      169 |            0.5976 |
| CLARKE MACARTHUR     |    24 |   135 |     53 |     54 |      266 |            0.5977 |
| REILLY SMITH         |    20 |   126 |     44 |     54 |      244 |            0.5984 |
| VERNON FIDDLER       |     6 |   103 |     37 |     36 |      182 |            0.5989 |
| CHRIS KREIDER        |    17 |   119 |     31 |     60 |      227 |            0.5991 |
| JAROMIR JAGR         |    24 |   207 |     76 |     78 |      385 |            0.6000 |
| NATHAN GERBE         |    16 |   205 |     70 |     77 |      368 |            0.6005 |
| MARK LETESTU         |    12 |   110 |     46 |     35 |      203 |            0.6010 |
| PATRIK ELIAS         |    18 |    98 |     48 |     29 |      193 |            0.6010 |
| CAL CLUTTERBUCK      |    12 |   160 |     58 |     56 |      286 |            0.6014 |
| DAVID BACKES         |    27 |   139 |     43 |     67 |      276 |            0.6014 |
| ZEMGUS GIRGENSONS    |     8 |   107 |     31 |     45 |      191 |            0.6021 |
| PASCAL DUPUIS        |     7 |    90 |     30 |     34 |      161 |            0.6025 |
| DREW STAFFORD        |    16 |   169 |     67 |     55 |      307 |            0.6026 |
| MATT NIETO           |     8 |    83 |     33 |     27 |      151 |            0.6026 |
| BRAD MARCHAND        |    25 |   124 |     45 |     53 |      247 |            0.6032 |
| LEE STEMPNIAK        |    12 |   166 |     63 |     54 |      295 |            0.6034 |
| J.T. BROWN           |     5 |   111 |     34 |     42 |      192 |            0.6042 |
| PA PARENTEAU         |    14 |    96 |     35 |     37 |      182 |            0.6044 |
| MATT MOULSON         |    23 |   153 |     51 |     64 |      291 |            0.6048 |
| TYLER ENNIS          |    21 |   189 |     77 |     60 |      347 |            0.6052 |
| DANIEL SEDIN         |    16 |   208 |     71 |     75 |      370 |            0.6054 |
| RYAN JOHANSEN        |    33 |   204 |     72 |     82 |      391 |            0.6061 |
| RICH PEVERLEY        |     7 |   115 |     38 |     41 |      201 |            0.6070 |
| DAVID DESHARNAIS     |    16 |    80 |     33 |     29 |      158 |            0.6076 |
| NICK BONINO          |    22 |   137 |     51 |     51 |      261 |            0.6092 |
| ZACK SMITH           |    13 |   142 |     46 |     53 |      254 |            0.6102 |
| CAM ATKINSON         |    21 |   195 |     70 |     68 |      354 |            0.6102 |
| DUSTIN PENNER        |    14 |   105 |     34 |     42 |      195 |            0.6103 |
| SEAN BERGENHEIM      |    16 |   174 |     45 |     75 |      310 |            0.6129 |
| JOFFREY LUPUL        |    22 |   170 |     57 |     64 |      313 |            0.6134 |
| CHRIS KUNITZ         |    35 |   183 |     68 |     69 |      355 |            0.6141 |
| ADAM HENRIQUE        |    25 |   112 |     42 |     44 |      223 |            0.6143 |
| NICK BJUGSTAD        |    16 |   169 |     58 |     58 |      301 |            0.6146 |
| SIDNEY CROSBY        |    36 |   223 |     77 |     85 |      421 |            0.6152 |
| MIKAEL GRANLUND      |     8 |    96 |     36 |     29 |      169 |            0.6154 |
| DAVID JONES          |     9 |    95 |     30 |     34 |      168 |            0.6190 |
| NATHAN MACKINNON     |    24 |   217 |     68 |     79 |      388 |            0.6211 |
| RICK NASH            |    26 |   232 |     82 |     75 |      415 |            0.6217 |
| MARCUS JOHANSSON     |     8 |    99 |     33 |     32 |      172 |            0.6221 |
| CHRIS HIGGINS        |    17 |   199 |     65 |     66 |      347 |            0.6225 |
| JADEN SCHWARTZ       |    25 |   163 |     57 |     57 |      302 |            0.6225 |
| MARCUS KRUGER        |     8 |    88 |     30 |     28 |      154 |            0.6234 |
| WAYNE SIMMONDS       |    29 |   180 |     73 |     53 |      335 |            0.6239 |
| MIKE RIBEIRO         |    16 |    94 |     38 |     28 |      176 |            0.6250 |
| KYLE PALMIERI        |    14 |   133 |     41 |     47 |      235 |            0.6255 |
| ANDREW SHAW          |    20 |   129 |     49 |     40 |      238 |            0.6261 |
| PAUL STASTNY         |    25 |   126 |     41 |     49 |      241 |            0.6266 |
| DANIEL BRIERE        |    13 |   105 |     38 |     32 |      188 |            0.6277 |
| RYAN O'REILLY        |    28 |   173 |     69 |     50 |      320 |            0.6281 |
| TOMAS KOPECKY        |     4 |    91 |     26 |     30 |      151 |            0.6291 |
| RJ UMBERGER          |    18 |   118 |     42 |     38 |      216 |            0.6296 |
| VALTTERI FILPPULA    |    25 |   106 |     40 |     37 |      208 |            0.6298 |
| NINO NIEDERREITER    |    14 |   129 |     37 |     47 |      227 |            0.6300 |
| MARTIN HANZAL        |    15 |   154 |     37 |     62 |      268 |            0.6306 |
| MIKE FISHER          |    20 |   157 |     54 |     49 |      280 |            0.6321 |
| BENOIT POULIOT       |    15 |   126 |     32 |     50 |      223 |            0.6323 |
| MAXIME TALBOT        |     8 |   116 |     46 |     26 |      196 |            0.6327 |
| CHARLIE COYLE        |    12 |   123 |     36 |     42 |      213 |            0.6338 |
| SHAWN MATTHIAS       |    12 |   115 |     38 |     35 |      200 |            0.6350 |
| JAKOB SILFVERBERG    |    10 |   109 |     34 |     34 |      187 |            0.6364 |
| MATT HENDRICKS       |     5 |    97 |     28 |     30 |      160 |            0.6375 |
| STEVE OTT            |     9 |   118 |     37 |     35 |      199 |            0.6382 |
| RYAN SMYTH           |    10 |   119 |     27 |     46 |      202 |            0.6386 |
| MICHAEL GRABNER      |    12 |   125 |     39 |     38 |      214 |            0.6402 |
| NATE THOMPSON        |     9 |    96 |     28 |     31 |      164 |            0.6402 |
| MATT MARTIN          |     8 |   115 |     40 |     29 |      192 |            0.6406 |
| JESSE WINCHESTER     |     9 |    91 |     26 |     30 |      156 |            0.6410 |
| DAINIUS ZUBRUS       |    13 |   108 |     32 |     35 |      188 |            0.6436 |
| PATRIC HORNQVIST     |    22 |   226 |     55 |     81 |      384 |            0.6458 |
| STEVE BERNIER        |     3 |   101 |     22 |     35 |      161 |            0.6460 |
| LOUI ERIKSSON        |    10 |   105 |     26 |     37 |      178 |            0.6461 |
| ANTOINE VERMETTE     |    24 |   136 |     41 |     46 |      247 |            0.6478 |
| ZACH PARISE          |    29 |   216 |     64 |     69 |      378 |            0.6481 |
| DREW MILLER          |     7 |   110 |     27 |     36 |      180 |            0.6500 |
| BRIAN BOYLE          |     7 |   135 |     37 |     39 |      218 |            0.6514 |
| TODD BERTUZZI        |     9 |    91 |     21 |     32 |      153 |            0.6536 |
| BRANDON SUTTER       |    13 |   131 |     36 |     40 |      220 |            0.6545 |
| JASON CHIMERA        |    15 |   152 |     42 |     45 |      254 |            0.6575 |
| JUSTIN ABDELKADER    |    10 |   137 |     25 |     51 |      223 |            0.6592 |
| BRIAN FLYNN          |     6 |    96 |     30 |     22 |      154 |            0.6623 |
| DAVID LEGWAND        |    14 |   132 |     31 |     43 |      220 |            0.6636 |
| JONATHAN TOEWS       |    28 |   166 |     42 |     49 |      285 |            0.6807 |
| JAMES VAN RIEMSDYK   |    30 |   249 |     51 |     72 |      402 |            0.6940 |
+----------------------+-------+-------+--------+--------+----------+-------------------+
414 rows in set (0.33 sec)



