| Shooter                    | Goals | Shots | Blocks | Misses | Attempts | Shots_Through_Per |
+----------------------------+-------+-------+--------+--------+----------+-------------------+
| DANIEL ALFREDSSON    |    18 |   133 |     69 |     51 |      271 |            0.5572 |
| JAMES NEAL           |    27 |   211 |    105 |     84 |      427 |            0.5574 |
| ZACK KASSIAN         |    14 |    77 |     38 |     34 |      163 |            0.5583 |
| T.J. OSHIE           |    21 |   131 |     56 |     64 |      272 |            0.5588 |
| DEREK STEPAN         |    17 |   182 |     67 |     90 |      356 |            0.5590 |
| MIKAEL BACKLUND      |    18 |   160 |     74 |     66 |      318 |            0.5597 |
| COLIN WILSON         |    11 |   101 |     41 |     47 |      200 |            0.5600 |
| SEAN MONAHAN         |    22 |   118 |     66 |     44 |      250 |            0.5600 |
| ROMAN JOSI           |    13 |   155 |     81 |     51 |      300 |            0.5600 |
| CRAIG SMITH          |    24 |   190 |     80 |     88 |      382 |            0.5602 |
| DAMIEN BRUNNER       |    11 |    99 |     44 |     42 |      196 |            0.5612 |
| DAVID MOSS           |     8 |   143 |     57 |     61 |      269 |            0.5613 |
| EVGENI MALKIN        |    23 |   168 |     88 |     61 |      340 |            0.5618 |
| RYAN MCDONAGH        |    14 |   163 |     88 |     50 |      315 |            0.5619 |
| NAIL YAKUPOV         |    11 |   111 |     50 |     45 |      217 |            0.5622 |
| JOHN TAVARES         |    24 |   164 |     85 |     61 |      334 |            0.5629 |
| TYLER SEGUIN         |    37 |   257 |    105 |    123 |      522 |            0.5632 |
| PATRICK KANE         |    29 |   198 |     88 |     88 |      403 |            0.5633 |
| NICK LEDDY           |     7 |   116 |     64 |     31 |      218 |            0.5642 |
| PATRICE BERGERON     |    30 |   213 |     94 |     93 |      430 |            0.5651 |
| HENRIK ZETTERBERG    |    16 |   135 |     55 |     61 |      267 |            0.5655 |
| TYLER BOZAK          |    19 |    71 |     35 |     34 |      159 |            0.5660 |
| TOMAS TATAR          |    19 |   139 |     65 |     56 |      279 |            0.5663 |
| CODY HODGSON         |    20 |   162 |     88 |     51 |      321 |            0.5670 |
| RYAN GARBUTT         |    17 |   148 |     58 |     68 |      291 |            0.5670 |
| MILAN MICHALEK       |    17 |   152 |     63 |     66 |      298 |            0.5671 |
| SAM GAGNER           |    10 |   133 |     50 |     59 |      252 |            0.5675 |
| MATT COOKE           |    10 |    94 |     45 |     34 |      183 |            0.5683 |
| KRIS LETANG          |    11 |    97 |     47 |     35 |      190 |            0.5684 |
| JONATHAN HUBERDEAU   |     9 |    99 |     46 |     36 |      190 |            0.5684 |
| MIKA ZIBANEJAD       |    16 |   137 |     39 |     77 |      269 |            0.5688 |
| TEDDY PURCELL        |    12 |   145 |     53 |     66 |      276 |            0.5688 |
| JASON SPEZZA         |    23 |   200 |     87 |     82 |      392 |            0.5689 |
| CHRIS NEIL           |     8 |    91 |     40 |     35 |      174 |            0.5690 |
| COREY PERRY          |    43 |   237 |     91 |    121 |      492 |            0.5691 |
| DAVID CLARKSON       |     5 |    97 |     44 |     33 |      179 |            0.5698 |
| ALEX GALCHENYUK      |    13 |    97 |     47 |     36 |      193 |            0.5699 |
| ERIC STAAL           |    21 |   209 |     80 |     93 |      403 |            0.5707 |
| JASON POMINVILLE     |    30 |   196 |     84 |     85 |      395 |            0.5722 |
| TEEMU SELANNE        |     9 |   102 |     36 |     47 |      194 |            0.5722 |
| MICHAEL RYDER        |    18 |   148 |     66 |     58 |      290 |            0.5724 |
| PATRICK DWYER        |     8 |   126 |     44 |     56 |      234 |            0.5726 |
| VIKTOR STALBERG      |     8 |   106 |     42 |     43 |      199 |            0.5729 |
| MATT CALVERT         |     9 |    81 |     39 |     28 |      157 |            0.5732 |
| BEN SMITH            |    14 |    76 |     33 |     34 |      157 |            0.5732 |
| ALEX KILLORN         |    17 |   157 |     66 |     63 |      303 |            0.5743 |
| DAVID PERRON         |    28 |   192 |     94 |     69 |      383 |            0.5744 |
| ONDREJ PALAT         |    23 |   142 |     56 |     66 |      287 |            0.5749 |
| SCOTTIE UPSHALL      |    15 |   146 |     70 |     49 |      280 |            0.5750 |
| BRAD BOYES           |    21 |   155 |     55 |     75 |      306 |            0.5752 |
| ERIC NYSTROM         |    15 |   105 |     51 |     37 |      208 |            0.5769 |
| GUSTAV NYQUIST       |    28 |   125 |     52 |     60 |      265 |            0.5774 |
| DANIEL WINNIK        |     6 |   109 |     41 |     43 |      199 |            0.5779 |
| JEFF SKINNER         |    33 |   241 |    113 |     87 |      474 |            0.5781 |
| GABRIEL LANDESKOG    |    26 |   196 |     90 |     72 |      384 |            0.5781 |
